application,course,tuition,scholarship,age,grade_1,grade_2,inflation,success
17,171,1,0,20,0,0,1,Dropout
15,9254,0,0,20,14,14,0,Graduate
1,9070,0,0,20,0,0,1,Dropout
17,9773,1,0,20,14,12,-1,Graduate
39,8014,1,0,45,12,14,0,Graduate
39,9991,1,0,50,12,12,0,Graduate
1,9500,1,1,20,14,14,3,Graduate
18,9254,0,0,20,0,0,3,Dropout
1,9238,1,1,20,14,14,0,Graduate
1,9238,0,0,20,12,14,1,Dropout
1,9670,1,0,20,12,14,0,Graduate
1,9500,1,1,20,14,14,4,Graduate
1,9853,1,0,20,0,0,4,Dropout
53,9254,1,1,20,10,12,1,Graduate
1,9085,1,1,20,14,12,1,Graduate
1,9773,1,0,20,14,0,3,Dropout
18,9238,1,0,20,12,12,1,Enrolled
17,9500,1,0,20,14,14,3,Graduate
1,9130,1,0,20,12,12,1,Graduate
1,9853,1,0,20,12,14,0,Enrolled
1,171,1,1,20,0,0,1,Graduate
18,9556,1,0,20,12,12,4,Enrolled
1,9500,1,0,20,12,12,4,Graduate
1,9670,1,1,20,14,12,1,Graduate
1,9500,1,0,20,14,14,1,Graduate
1,9238,1,1,20,12,12,3,Enrolled
17,9238,1,0,20,12,14,0,Graduate
1,9085,1,0,20,12,14,-1,Enrolled
1,9147,1,0,20,12,12,0,Graduate
17,9500,1,0,20,12,14,0,Enrolled
44,9003,1,0,20,12,10,0,Enrolled
51,9070,1,0,20,12,14,1,Graduate
1,9147,0,0,20,12,14,1,Enrolled
18,8014,1,0,20,12,14,1,Graduate
1,9991,1,0,35,12,14,0,Graduate
39,33,0,0,35,0,10,1,Dropout
39,9119,1,0,45,0,0,3,Dropout
43,9147,1,0,55,10,12,0,Dropout
39,9991,1,0,40,12,12,3,Graduate
44,9130,0,0,20,12,12,1,Dropout
1,9773,1,0,20,12,0,4,Dropout
1,9147,1,0,20,14,16,1,Graduate
1,9500,1,0,20,14,14,1,Graduate
17,9773,0,0,20,14,14,1,Dropout
39,9991,1,0,30,0,0,0,Dropout
17,9991,1,0,25,12,14,3,Enrolled
17,9238,1,0,20,12,14,1,Graduate
17,9500,1,1,20,14,14,1,Graduate
44,8014,1,1,20,12,14,1,Graduate
1,9238,1,1,20,12,12,4,Graduate
39,9254,1,1,25,14,14,1,Graduate
1,9500,1,1,20,12,12,-1,Enrolled
1,9773,1,1,20,14,12,-1,Enrolled
1,9130,1,0,20,14,16,3,Graduate
39,9991,1,0,25,10,12,-1,Dropout
1,9500,1,0,20,14,14,3,Graduate
7,9254,1,0,40,0,0,1,Dropout
39,9130,1,0,25,14,12,1,Dropout
17,9500,1,0,20,14,14,-1,Graduate
1,171,1,0,20,0,0,3,Enrolled
1,9500,1,0,20,14,12,0,Graduate
44,9238,1,1,20,12,12,0,Graduate
17,171,1,1,20,0,0,1,Enrolled
17,9070,1,0,20,12,10,1,Enrolled
43,9070,1,0,25,0,0,4,Enrolled
42,9500,1,0,30,12,12,0,Dropout
1,171,1,1,20,0,0,1,Graduate
44,9003,1,0,25,12,12,1,Graduate
1,9147,1,0,20,12,10,0,Dropout
