debtor,tuition,gender,scholarship,units_1_approved,units_1_grade,units_2_approved,units_2_grade,target
0,1,1,0,0,0,0,0,Dropout
0,0,1,0,6,14,6,14,Graduate
0,0,1,0,0,0,0,0,Dropout
0,1,0,0,6,13,5,12,Graduate
0,1,0,0,5,12,6,13,Graduate
1,1,1,0,5,12,5,12,Graduate
0,1,0,1,7,13,8,14,Graduate
0,0,1,0,0,0,0,0,Dropout
0,1,0,1,6,14,6,14,Graduate
1,0,0,0,5,11,2,14,Dropout
0,1,0,0,6,12,5,14,Graduate
0,1,0,1,7,13,7,13,Graduate
0,1,0,0,0,0,0,0,Dropout
0,1,0,1,6,11,5,11,Graduate
0,1,0,1,4,13,5,12,Graduate
0,1,0,0,5,13,0,0,Dropout
0,1,0,0,1,12,2,11,Enrolled
0,1,0,0,7,13,8,15,Graduate
0,1,0,0,4,13,4,12,Graduate
0,1,0,0,6,12,6,14,Enrolled
0,1,0,1,0,0,0,0,Graduate
0,1,0,0,7,11,8,11,Enrolled
0,1,0,0,7,13,7,13,Graduate
0,1,0,1,6,13,6,12,Graduate
0,1,0,0,6,13,7,14,Graduate
1,1,0,1,5,12,4,11,Enrolled
0,1,0,0,6,11,6,13,Graduate
0,1,0,0,5,13,4,13,Enrolled
0,1,0,0,5,12,5,12,Graduate
0,1,1,0,6,13,6,14,Enrolled
0,1,1,0,5,12,5,11,Enrolled
0,1,1,0,6,13,4,13,Graduate
0,0,1,0,3,11,2,14,Enrolled
0,1,0,0,6,13,6,14,Graduate
0,1,1,0,5,12,5,13,Graduate
1,0,1,0,0,0,1,10,Dropout
0,1,1,0,0,0,0,0,Dropout
0,1,0,0,1,10,2,12,Dropout
0,1,0,0,5,11,5,12,Graduate
1,0,0,0,3,12,3,12,Dropout
1,1,0,0,4,13,0,0,Dropout
0,1,0,0,5,15,5,16,Graduate
0,1,0,0,5,14,7,14,Graduate
0,0,0,0,4,13,5,14,Dropout
0,1,0,0,0,0,0,0,Dropout
0,1,0,0,2,12,3,14,Enrolled
0,1,0,0,6,12,5,13,Graduate
0,1,0,1,6,14,7,14,Graduate
